PROG_NO,PROG_NAME,SEM,MAJOR ,MAJOR_NAME,COURSE_NO,COURSE_NAME,NAME OF BOS,CREDIT,VERTICAL_NO
1150261.0,B.Sc. (Information Technology),1,,VEC,,Fundamental of People’s Skills,,2,5
1150261.0,B.Sc. (Information Technology),1,,VEC,,Foundation of Behavioral Skills- Basic Level,,2,5
1150261.0,B.Sc. (Information Technology),1,,IKS,,Indian Knowledge System,,2,5
1150261.0,B.Sc. (Information Technology),1,,CC,,Introduction to Cultural Activities,  ,2,6
1151261.0,B.Sc. (Biotechnology),1,,Major 1,,Fundamentals of Biotechnology-I,B.Sc. (Bio-Technology) ,2,1
1151261.0,B.Sc. (Biotechnology),1,,Major 2,,Microbial Biotechnology,B.Sc. (Bio-Technology) ,2,1
1151261.0,B.Sc. (Biotechnology),1,,Major 3,,Practical,B.Sc. (Bio-Technology) ,2,1
1151261.0,B.Sc. (Biotechnology),1,,OE,,Wonders of Physics - I,B.Sc. (Physics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Wonders of Physics - II,B.Sc. (Physics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Chemistry in Daily Life,B.Sc. (Chemistry) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Medicines in Every Day Life,B.Sc. (Chemistry) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Quantitative Techniques – I (OE) ,B.Sc. (Mathematics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Logic and Data Interpretation - I (OE) ,B.Sc. (Mathematics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Financial Mathematics – I (OE) ,B.Sc. (Mathematics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Introduction to Basic Statistics-I,B.Sc. (Statistics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Introduction to Social Statistics,B.Sc. (Statistics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Introduction to Business Statistics-I,B.Sc. (Statistics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Optimization Techniques-I,B.Sc. (Statistics) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Organic farming and Bio fertilizers (OE),B.Sc. (Botany) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Plants in Everyday Life : A Botanical Exploration (OE),B.Sc. (Botany) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Blood and Blood disorders,B.Sc. (Bio-Chemistry ) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Basics of food and nutrition,B.Sc. (Bio-Chemistry ) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Amazing Animals,B.Sc. (Zoology) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Wildlife documentation,B.Sc. (Zoology) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Microbes at Work,B.Sc. (Microbiology) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Model Organisms in Biology,B.Sc. (Life Science ) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,IPR and Entrepreneurship,B.Sc. (Life Science ) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,"Nutrition, Life style diseases and their management",B.Sc. (Bio-Technology) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Wine Technology,B.Sc. (Bio-Technology) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Open-Source Technologies (OE),B.Sc. (Computer Science) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Web Designing (OE),B.Sc. (Computer Science) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,IT_Fundamentals of Computers,B.Sc. (Information Technology) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,IT_Google Workspace,B.Sc. (Information Technology) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Introduction to Botany  ,B.Sc. (Bio-analytical Science) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,Plant physiology ,B.Sc. (Bio-analytical Science) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,DS_Excel for Data Analytics,B.Sc. (Data Science) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,OE,,DS_Database Management System,B.Sc. (Data Science) ,2,3
1151261.0,B.Sc. (Biotechnology),1,,VSC,,Instrumentation in Biotechnology,,2,4
1151261.0,B.Sc. (Biotechnology),1,,VSC,,Computers in Biology,,2,4
1151261.0,B.Sc. (Biotechnology),1,,SEC,,Microbial Techniques,,2,4
1151261.0,B.Sc. (Biotechnology),1,,SEC,,Clinical Biochemistry,,2,4
1151261.0,B.Sc. (Biotechnology),1,,AEC,,Introduction to Communication Skills (B.Sc),English,2,5
1151261.0,B.Sc. (Biotechnology),1,,AEC,,Business Communication Skills I (B.M.S.),English,2,5
1151261.0,B.Sc. (Biotechnology),1,,AEC,,Business Communication Skills I (B.A.F),English,2,5
1151261.0,B.Sc. (Biotechnology),1,,AEC,,Business Communication Skills I (B.Com.),English,2,5
1151261.0,B.Sc. (Biotechnology),1,,AEC,,Communication Skills in English I (BA),English,2,5
1151261.0,B.Sc. (Biotechnology),1,,VEC,,Indian Constitution,,2,5
1151261.0,B.Sc. (Biotechnology),1,,VEC,,Introduction to Law of Torts and Consumer protection Act,,2,5
1151261.0,B.Sc. (Biotechnology),1,,VEC,,Law related to Intellectual Property Rights,,2,5
1151261.0,B.Sc. (Biotechnology),1,,VEC,,Fundamental of People’s Skills,,2,5
1151261.0,B.Sc. (Biotechnology),1,,VEC,,Foundation of Behavioral Skills- Basic Level,,2,5
1151261.0,B.Sc. (Biotechnology),1,,IKS,,Indian Knowledge System,,2,5
1151261.0,B.Sc. (Biotechnology),1,,CC,,Introduction to Cultural Activities,,2,6
,B.Sc. (Physics),1,,Major 1,,Introduction to Mechanics,B.Sc. (Physics) ,2,1
,B.Sc. (Physics),1,,Major 2,,Basic Electricity & Magnetism,B.Sc. (Physics) ,2,1
,B.Sc. (Physics),1,,Major 3,,Practical – I,B.Sc. (Physics) ,2,1
,B.Sc. (Physics),1,,OE,,Wonders of Physics - I,B.Sc. (Physics) ,2,3
,B.Sc. (Physics),1,,OE,,Wonders of Physics - II,B.Sc. (Physics) ,2,3
,B.Sc. (Physics),1,,OE,,Chemistry in Daily Life,B.Sc. (Chemistry) ,2,3
,B.Sc. (Physics),1,,OE,,Medicines in Every Day Life,B.Sc. (Chemistry) ,2,3
,B.Sc. (Physics),1,,OE,,Quantitative Techniques – I (OE) ,B.Sc. (Mathematics) ,2,3
,B.Sc. (Physics),1,,OE,,Logic and Data Interpretation - I (OE) ,B.Sc. (Mathematics) ,2,3
,B.Sc. (Physics),1,,OE,,Financial Mathematics – I (OE) ,B.Sc. (Mathematics) ,2,3
,B.Sc. (Physics),1,,OE,,Introduction to Basic Statistics-I,B.Sc. (Statistics) ,2,3
,B.Sc. (Physics),1,,OE,,Introduction to Social Statistics,B.Sc. (Statistics) ,2,3
,B.Sc. (Physics),1,,OE,,Introduction to Business Statistics-I,B.Sc. (Statistics) ,2,3
,B.Sc. (Physics),1,,OE,,Optimization Techniques-I,B.Sc. (Statistics) ,2,3
,B.Sc. (Physics),1,,OE,,Organic farming and Bio fertilizers (OE),B.Sc. (Botany) ,2,3
,B.Sc. (Physics),1,,OE,,Plants in Everyday Life : A Botanical Exploration (OE),B.Sc. (Botany) ,2,3
,B.Sc. (Physics),1,,OE,,Blood and Blood disorders,B.Sc. (Bio-Chemistry ) ,2,3
,B.Sc. (Physics),1,,OE,,Basics of food and nutrition,B.Sc. (Bio-Chemistry ) ,2,3
,B.Sc. (Physics),1,,OE,,Amazing Animals,B.Sc. (Zoology) ,2,3
,B.Sc. (Physics),1,,OE,,Wildlife documentation,B.Sc. (Zoology) ,2,3
,B.Sc. (Physics),1,,OE,,Microbes at Work,B.Sc. (Microbiology) ,2,3
,B.Sc. (Physics),1,,OE,,Model Organisms in Biology,B.Sc. (Life Science ) ,2,3
,B.Sc. (Physics),1,,OE,,IPR and Entrepreneurship,B.Sc. (Life Science ) ,2,3
,B.Sc. (Physics),1,,OE,,"Nutrition, Life style diseases and their management",B.Sc. (Bio-Technology) ,2,3
,B.Sc. (Physics),1,,OE,,Wine Technology,B.Sc. (Bio-Technology) ,2,3
,B.Sc. (Physics),1,,OE,,Open-Source Technologies (OE),B.Sc. (Computer Science) ,2,3
,B.Sc. (Physics),1,,OE,,Web Designing (OE),B.Sc. (Computer Science) ,2,3
,B.Sc. (Physics),1,,OE,,IT_Fundamentals of Computers,B.Sc. (Information Technology) ,2,3
,B.Sc. (Physics),1,,OE,,IT_Google Workspace,B.Sc. (Information Technology) ,2,3
,B.Sc. (Physics),1,,OE,,Introduction to Botany  ,B.Sc. (Bio-analytical Science) ,2,3
,B.Sc. (Physics),1,,OE,,Plant physiology ,B.Sc. (Bio-analytical Science) ,2,3
,B.Sc. (Physics),1,,OE,,DS_Excel for Data Analytics,B.Sc. (Data Science) ,2,3
,B.Sc. (Physics),1,,OE,,DS_Database Management System,B.Sc. (Data Science) ,2,3
,B.Sc. (Physics),1,,VSC,,Laboratory Equipment Maintenance,,2,4
,B.Sc. (Physics),1,,SEC,,Basic Instrumentation skills and Basic Mathematical Skills for Physics,,2,4
,B.Sc. (Physics),1,,AEC,,Introduction to Communication Skills (B.Sc),English,2,5
,B.Sc. (Physics),1,,AEC,,Business Communication Skills I (B.M.S.),English,2,5
,B.Sc. (Physics),1,,AEC,,Business Communication Skills I (B.A.F),English,2,5
,B.Sc. (Physics),1,,AEC,,Business Communication Skills I (B.Com.),English,2,5
,B.Sc. (Physics),1,,AEC,,Communication Skills in English I (BA),English,2,5
,B.Sc. (Physics),1,,VEC,,Indian Constitution,,2,5
,B.Sc. (Physics),1,,VEC,,Introduction to Law of Torts and Consumer protection Act,,2,5
,B.Sc. (Physics),1,,VEC,,Law related to Intellectual Property Rights,,2,5
,B.Sc. (Physics),1,,VEC,,Fundamental of People’s Skills,,2,5
,B.Sc. (Physics),1,,VEC,,Foundation of Behavioral Skills- Basic Level,,2,5
,B.Sc. (Physics),1,,IKS,,Indian Knowledge System,,2,5
,B.Sc. (Physics),1,,CC,,Introduction to Cultural Activities,,2,6
1151761.0,B.Sc. (Data Science),1,,Major 1,,Python Programming,B.Sc. (Data Science),2,1
1151761.0,B.Sc. (Data Science),1,,Major 2,,Descriptive Statistics,B.Sc. (Data Science),2,1
1151761.0,B.Sc. (Data Science),1,,Major 3,,Practical 1,B.Sc. (Data Science),2,1
1151761.0,B.Sc. (Data Science),1,,OE,,Wonders of Physics - I,B.Sc. (Physics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Wonders of Physics - II,B.Sc. (Physics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Chemistry in Daily Life,B.Sc. (Chemistry) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Medicines in Every Day Life,B.Sc. (Chemistry) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Quantitative Techniques – I (OE) ,B.Sc. (Mathematics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Logic and Data Interpretation - I (OE) ,B.Sc. (Mathematics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Financial Mathematics – I (OE) ,B.Sc. (Mathematics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Introduction to Basic Statistics-I,B.Sc. (Statistics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Introduction to Social Statistics,B.Sc. (Statistics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Introduction to Business Statistics-I,B.Sc. (Statistics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Optimization Techniques-I,B.Sc. (Statistics) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Organic farming and Bio fertilizers (OE),B.Sc. (Botany) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Plants in Everyday Life : A Botanical Exploration (OE),B.Sc. (Botany) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Blood and Blood disorders,B.Sc. (Bio-Chemistry ) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Basics of food and nutrition,B.Sc. (Bio-Chemistry ) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Amazing Animals,B.Sc. (Zoology) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Wildlife documentation,B.Sc. (Zoology) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Microbes at Work,B.Sc. (Microbiology) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Model Organisms in Biology,B.Sc. (Life Science ) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,IPR and Entrepreneurship,B.Sc. (Life Science ) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,"Nutrition, Life style diseases and their management",B.Sc. (Bio-Technology) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Wine Technology,B.Sc. (Bio-Technology) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Open-Source Technologies (OE),B.Sc. (Computer Science) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Web Designing (OE),B.Sc. (Computer Science) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,IT_Fundamentals of Computers,B.Sc. (Information Technology) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,IT_Google Workspace,B.Sc. (Information Technology) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Introduction to Botany  ,B.Sc. (Bio-analytical Science) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,Plant physiology ,B.Sc. (Bio-analytical Science) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,DS_Excel for Data Analytics,B.Sc. (Data Science) ,2,3
1151761.0,B.Sc. (Data Science),1,,OE,,DS_Database Management System,B.Sc. (Data Science) ,2,3
1151761.0,B.Sc. (Data Science),1,,VSC,,Excel for Business,,2,4
1151761.0,B.Sc. (Data Science),1,,SEC,,Office Tools for Data Scientists,,2,4
1151761.0,B.Sc. (Data Science),1,,SEC,,Digital Marketing,,2,4
1151761.0,B.Sc. (Data Science),1,,AEC,,Introduction to Communication Skills (B.Sc),English,2,5
1151761.0,B.Sc. (Data Science),1,,AEC,,Business Communication Skills I (B.M.S.),English,2,5
1151761.0,B.Sc. (Data Science),1,,AEC,,Business Communication Skills I (B.A.F),English,2,5
1151761.0,B.Sc. (Data Science),1,,AEC,,Business Communication Skills I (B.Com.),English,2,5
1151761.0,B.Sc. (Data Science),1,,AEC,,Communication Skills in English I (BA),English,2,5
1151761.0,B.Sc. (Data Science),1,,VEC,,Indian Constitution,,2,5
1151761.0,B.Sc. (Data Science),1,,VEC,,Introduction to Law of Torts and Consumer protection Act,,2,5
1151761.0,B.Sc. (Data Science),1,,VEC,,Law related to Intellectual Property Rights,,2,5
1151761.0,B.Sc. (Data Science),1,,VEC,,Fundamental of People’s Skills,,2,5
1151761.0,B.Sc. (Data Science),1,,VEC,,Foundation of Behavioral Skills- Basic Level,,2,5
1151761.0,B.Sc. (Data Science),1,,IKS,,Indian Knowledge System,,2,5
1151761.0,B.Sc. (Data Science),1,,CC,,Introduction to Cultural Activities,,2,6
,B.A./ B.Sc. (Mathematics),1,,Major 1,,Real Analysis-I,B.Sc. (Mathematics) ,2,1
,B.A./ B.Sc. (Mathematics),1,,Major 2,,Algebra-I,B.Sc. (Mathematics) ,2,1
,B.A./ B.Sc. (Mathematics),1,,Major 3,,Practical I ,B.Sc. (Mathematics) ,2,1
,B.A./ B.Sc. (Mathematics),1,,OE,,Wonders of Physics - I,B.Sc. (Physics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Wonders of Physics - II,B.Sc. (Physics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Chemistry in Daily Life,B.Sc. (Chemistry) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Medicines in Every Day Life,B.Sc. (Chemistry) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Quantitative Techniques – I (OE) ,B.Sc. (Mathematics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Logic and Data Interpretation - I (OE) ,B.Sc. (Mathematics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Financial Mathematics – I (OE) ,B.Sc. (Mathematics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Introduction to Basic Statistics-I,B.Sc. (Statistics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Introduction to Social Statistics,B.Sc. (Statistics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Introduction to Business Statistics-I,B.Sc. (Statistics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Optimization Techniques-I,B.Sc. (Statistics) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Organic farming and Bio fertilizers (OE),B.Sc. (Botany) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Plants in Everyday Life : A Botanical Exploration (OE),B.Sc. (Botany) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Blood and Blood disorders,B.Sc. (Bio-Chemistry ) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Basics of food and nutrition,B.Sc. (Bio-Chemistry ) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Amazing Animals,B.Sc. (Zoology) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Wildlife documentation,B.Sc. (Zoology) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Microbes at Work,B.Sc. (Microbiology) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Model Organisms in Biology,B.Sc. (Life Science ) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,IPR and Entrepreneurship,B.Sc. (Life Science ) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,"Nutrition, Life style diseases and their management",B.Sc. (Bio-Technology) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Wine Technology,B.Sc. (Bio-Technology) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Open-Source Technologies (OE),B.Sc. (Computer Science) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Web Designing (OE),B.Sc. (Computer Science) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,IT_Fundamentals of Computers,B.Sc. (Information Technology) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,IT_Google Workspace,B.Sc. (Information Technology) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Introduction to Botany  ,B.Sc. (Bio-analytical Science) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,Plant physiology ,B.Sc. (Bio-analytical Science) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,DS_Excel for Data Analytics,B.Sc. (Data Science) ,2,3
,B.A./ B.Sc. (Mathematics),1,,OE,,DS_Database Management System,B.Sc. (Data Science) ,2,3
,B.A./ B.Sc. (Mathematics),1,,VSC,,"Basics in Python Programming,",,2,4
,B.A./ B.Sc. (Mathematics),1,,SEC,,Data Analytics- I,,2,4
,B.A./ B.Sc. (Mathematics),1,,AEC,,Introduction to Communication Skills (B.Sc),English,2,5
,B.A./ B.Sc. (Mathematics),1,,AEC,,Business Communication Skills I (B.M.S.),English,2,5
,B.A./ B.Sc. (Mathematics),1,,AEC,,Business Communication Skills I (B.A.F),English,2,5
,B.A./ B.Sc. (Mathematics),1,,AEC,,Business Communication Skills I (B.Com.),English,2,5
,B.A./ B.Sc. (Mathematics),1,,AEC,,Communication Skills in English I (BA),English,2,5
,B.A./ B.Sc. (Mathematics),1,,VEC,,Indian Constitution,,2,5
,B.A./ B.Sc. (Mathematics),1,,VEC,,Introduction to Law of Torts and Consumer protection Act,,2,5
,B.A./ B.Sc. (Mathematics),1,,VEC,,Law related to Intellectual Property Rights,,2,5
,B.A./ B.Sc. (Mathematics),1,,VEC,,Fundamental of People’s Skills,,2,5
,B.A./ B.Sc. (Mathematics),1,,VEC,,Foundation of Behavioral Skills- Basic Level,,2,5
,B.A./ B.Sc. (Mathematics),1,,IKS,,Indian Knowledge System,,2,5
,B.A./ B.Sc. (Mathematics),1,,CC,,Introduction to Cultural Activities,,2,6
,B.Sc. (Bioanalytical Sciences),1,,Major 1,,Bioanalytical Sciences I,B.Sc. (Bio-analytical Science) ,2,1
,B.Sc. (Bioanalytical Sciences),1,,Major 2,,Chemical Sciences I,B.Sc. (Bio-analytical Science) ,2,1
,B.Sc. (Bioanalytical Sciences),1,,Major 3,,Bioanalytical & Chemical Sciences Practial 1,B.Sc. (Bio-analytical Science) ,2,1
,B.Sc. (Bioanalytical Sciences),1,,OE,,Wonders of Physics - I,B.Sc. (Physics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Wonders of Physics - II,B.Sc. (Physics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Chemistry in Daily Life,B.Sc. (Chemistry) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Medicines in Every Day Life,B.Sc. (Chemistry) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Quantitative Techniques – I (OE) ,B.Sc. (Mathematics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Logic and Data Interpretation - I (OE) ,B.Sc. (Mathematics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Financial Mathematics – I (OE) ,B.Sc. (Mathematics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Introduction to Basic Statistics-I,B.Sc. (Statistics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Introduction to Social Statistics,B.Sc. (Statistics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Introduction to Business Statistics-I,B.Sc. (Statistics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Optimization Techniques-I,B.Sc. (Statistics) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Organic farming and Bio fertilizers (OE),B.Sc. (Botany) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Plants in Everyday Life : A Botanical Exploration (OE),B.Sc. (Botany) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Blood and Blood disorders,B.Sc. (Bio-Chemistry ) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Basics of food and nutrition,B.Sc. (Bio-Chemistry ) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Amazing Animals,B.Sc. (Zoology) ,2,3
,B.Sc. (Bioanalytical Sciences),1,,OE,,Wildlife documentation,B.Sc. (Zoology) ,2,3
